cell,spec,n,estimator,target_time,truth,bias,bias_mc_se,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,ci_width,n_used
C2,Q✓ π✓ G✗,500,ipw,1.149562,-0.17473091250511089,0.005064115624661903,0.0018321473275136463,0.04096805969115084,0.04626515014979566,1.129298055572522,0.041239185468288864,0.96,0.008763560920082661,0.1813560560658748,500.0
C2,Q✓ π✓ G✗,500,ipw,2.66982,-0.25736161330036356,0.01136684917394565,0.002347052171705537,0.05248168202672089,0.059728150965880314,1.138076156466744,0.053647213856829135,0.97,0.007628892449104264,0.2341300495125933,500.0
C2,Q✓ π✓ G✗,500,tmle,0.513946,-0.09886684941881166,7.840182883238844e-06,0.0013971922982388427,0.031242169565012124,0.030006896506571682,0.9604613547765961,0.031210912743448872,0.934,0.01110351295761841,0.11762487288140253,500.0
C2,Q✓ π✓ G✗,500,tmle,1.149562,-0.17473091250511089,0.0005345317824372914,0.0017282973552806748,0.03864590371740694,0.03783525536680732,0.9790236927430296,0.038610938691169536,0.936,0.01094568408095172,0.1483114757296363,500.0
C2,Q✓ π✓ G✗,500,tmle,2.66982,-0.25736161330036356,-0.0007627239279679887,0.002155271994388296,0.048193346894537754,0.044061526582477445,0.9142657528828194,0.04815117065365859,0.918,0.012269963325128561,0.17271801041102003,500.0
C2,Q✓ π✓ G✗,500,tmle (concrete),0.513946,-0.09886684941881166,-0.0009346187397605672,0.0020341627176904626,0.024578881635625938,0.0299273265564525,1.2176032660930447,0.02451238700503849,0.9726027397260274,0.013509674464369539,0.11731296533378173,146.0
C2,Q✓ π✓ G✗,500,tmle (concrete),1.149562,-0.17473091250511089,0.0012330715577421835,0.002702827594270864,0.032658390080274866,0.03758351942295364,1.1508074749114308,0.032569704191127626,0.9726027397260274,0.013509674464369539,0.14732469012457985,146.0
C2,Q✓ π✓ G✗,500,tmle (concrete),2.66982,-0.25736161330036356,0.0038747452190580995,0.0032466590447533757,0.03922953049834168,0.04422547698467189,1.1273516767309106,0.039286497918242284,0.9657534246575342,0.015050997195329817,0.1733606855455709,146.0
C3,Q✓ π✗ G✓,500,aipw,0.513946,-0.09886684941881166,-0.00029266084785738595,0.0012770345158083707,0.028555359869610466,0.02563727103405861,0.89780941830618,0.028528291405204458,0.916,0.012405160216619531,0.10049625577729365,500.0
C3,Q✓ π✗ G✓,500,aipw,1.149562,-0.17473091250511089,0.00015745713195647692,0.0016481651835716414,0.0368540938861461,0.033685494106242136,0.9140231261771687,0.03681755804565177,0.928,0.0115599307956406,0.13204471049934172,500.0
C3,Q✓ π✗ G✓,500,aipw,2.66982,-0.25736161330036356,-0.002075579052884372,0.0020114201726356908,0.04497672237327767,0.04124922779029725,0.9171239168553763,0.04497963731219698,0.94,0.010620734437881408,0.16169400171814266,500.0
C3,Q✓ π✗ G✓,500,gcomp,0.513946,-0.09886684941881166,-0.0010003124106819548,0.0009612149434953735,0.021493419546442745,,,0.02149520352429287,,,,500.0
C3,Q✓ π✗ G✓,500,gcomp,1.149562,-0.17473091250511089,-0.0013197946991921686,0.001379753136751794,0.03085221805945575,,,0.030849594786931105,,,,500.0
C3,Q✓ π✗ G✓,500,gcomp,2.66982,-0.25736161330036356,-0.0008908403020664569,0.0017674699033427756,0.03952182852059429,,,0.03949233566397186,,,,500.0
C3,Q✓ π✗ G✓,500,ipw,0.513946,-0.09886684941881166,0.023508162289323887,0.0011960607084515302,0.02674473049314179,0.027511443190198548,1.0286678041961712,0.035587690879764544,0.848,0.01605590234150669,0.10784287563101776,500.0
C3,Q✓ π✗ G✓,500,ipw,1.149562,-0.17473091250511089,0.036118897876317294,0.0015807761949560304,0.03534723029135144,0.03842154763650676,1.0869747734069992,0.05051240065262323,0.842,0.016311713582576173,0.15060969919568656,500.0
C3,Q✓ π✗ G✓,500,ipw,2.66982,-0.25736161330036356,0.0333130192200273,0.00195343321962624,0.04368009468590549,0.050653774484660005,1.1596534954628832,0.05489892549021372,0.916,0.012405160216619531,0.19855914734189506,500.0
C3,Q✓ π✗ G✓,500,tmle,0.513946,-0.09886684941881166,-0.0002600097952816011,0.0013012242144705348,0.029096257975248813,0.025573101944703074,0.8789137753197416,0.029068310043749504,0.904,0.013174520864152895,0.10024471756917848,500.0
C3,Q✓ π✗ G✓,500,tmle,1.149562,-0.17473091250511089,8.189259467492783e-05,0.0016640634185338997,0.037209589227124834,0.03360697931120675,0.9031806050336112,0.03717245122113316,0.926,0.011706750189527404,0.13173693815829587,500.0
C3,Q✓ π✗ G✓,500,tmle,2.66982,-0.25736161330036356,-0.0018259933525541286,0.002017597870224713,0.04511485989081258,0.041092790982591235,0.9108482456122973,0.04510669721366536,0.938,0.010784804124322337,0.16108078070022225,500.0
C3,Q✓ π✗ G✓,500,tmle (concrete),0.513946,-0.09886684941881166,0.000395629610392307,0.0019975381297705356,0.024464745798456096,0.025567100128682765,1.0450588916520127,0.0243862697268731,0.9533333333333334,0.017221863795553384,0.10022119167322717,150.0
C3,Q✓ π✗ G✓,500,tmle (concrete),1.149562,-0.17473091250511089,0.003304965014144352,0.0027290285718932755,0.03342363747307402,0.03351002242814495,1.0025845467938828,0.03347558421790404,0.94,0.019390719429665325,0.13135687519671335,150.0
C3,Q✓ π✗ G✓,500,tmle (concrete),2.66982,-0.25736161330036356,0.004911257316212127,0.0033283655828110132,0.04076398677664066,0.04132124804691506,1.0136704310431612,0.04092364901739996,0.9666666666666667,0.014656562175858798,0.16197631721404762,150.0
