cell,arm,n,n_bootstrap,type,event,time,group,cov_all,cov_convfilter,mode2_effect,cov_dropmode1,mode1_effect,cov_strict,both_effect,width_all,width_convfilter
B_OV4_n250_correct,correct,250,100,risk,2,0.477676,1,0.88,0.8014184397163121,-0.0785815602836879,0.5142857142857142,-0.36571428571428577,0.5142857142857142,-0.36571428571428577,0.07640427545477214,0.06613910703730703
B_OV4_n250_correct,correct,250,100,risk,2,3.11961,0,0.9333333333333333,0.8866666666666667,-0.046666666666666634,0.4857142857142857,-0.44761904761904764,0.4857142857142857,-0.44761904761904764,0.21959499199326757,0.19716086812686157
B_OV4_n250_correct,correct,250,100,risk,2,3.11961,1,0.92,0.8791946308724832,-0.040805369127516866,0.37142857142857144,-0.5485714285714286,0.37142857142857144,-0.5485714285714286,0.22400709531250604,0.20543167868277756
B_OV4_n250_correct,correct,250,100,risk,2,8.608445,0,0.9466666666666667,0.9,-0.046666666666666634,0.4857142857142857,-0.46095238095238095,0.4857142857142857,-0.46095238095238095,0.28034252761740824,0.2529055389341063
B_OV4_n250_correct,correct,250,100,risk,2,8.608445,1,0.9466666666666667,0.9133333333333333,-0.033333333333333326,0.38571428571428573,-0.5609523809523809,0.38571428571428573,-0.5609523809523809,0.27846641323584503,0.256741427397457
B_OV4_n250_correct,correct,250,100,rr,1,0.477676,-1,0.9333333333333333,0.7232142857142857,-0.21011904761904765,0.7142857142857143,-0.21904761904761905,0.7142857142857143,-0.21904761904761905,2.0376241042409036,1.344767661296297
B_OV4_n250_correct,correct,250,100,rr,1,3.11961,-1,0.9533333333333334,0.8263888888888888,-0.12694444444444453,0.6142857142857143,-0.33904761904761904,0.6142857142857143,-0.33904761904761904,1.1422129544784643,0.9703129827462056
B_OV4_n250_correct,correct,250,100,rr,1,8.608445,-1,0.98,0.9047619047619048,-0.07523809523809522,0.6857142857142857,-0.29428571428571426,0.6857142857142857,-0.29428571428571426,0.8413435039817194,0.7105993784222097
B_OV4_n250_correct,correct,250,100,rr,2,0.477676,-1,0.9333333333333333,0.7565217391304347,-0.1768115942028986,0.6285714285714286,-0.3047619047619048,0.6285714285714286,-0.3047619047619048,3.6933414367849142,2.628364522515945
B_OV4_n250_correct,correct,250,100,rr,2,3.11961,-1,0.9466666666666667,0.8758620689655172,-0.07080459770114944,0.6,-0.3466666666666667,0.6,-0.3466666666666667,2.0993540287208443,1.8314989540804656
B_OV4_n250_correct,correct,250,100,rr,2,8.608445,-1,0.92,0.8657718120805369,-0.054228187919463156,0.6142857142857143,-0.3057142857142857,0.6142857142857143,-0.3057142857142857,1.5788556447549766,1.3839861942867802
B_RA2_n250_correct,correct,250,100,rd,1,0.477676,-1,0.54,0.47297297297297297,-0.06702702702702706,0.49295774647887325,-0.04704225352112679,0.49295774647887325,-0.04704225352112679,0.028839728285406638,0.022331884935662728
B_RA2_n250_correct,correct,250,100,rd,1,3.11961,-1,0.9133333333333333,0.9090909090909091,-0.00424242424242427,0.9577464788732394,0.04441314553990605,0.9577464788732394,0.04441314553990605,0.08941617280515618,0.08714347472265396
B_RA2_n250_correct,correct,250,100,rd,1,8.608445,-1,0.9066666666666666,0.9066666666666666,0.0,0.9154929577464789,0.008826291079812254,0.9154929577464789,0.008826291079812254,0.1444114176463012,0.14274302589122206
B_RA2_n250_correct,correct,250,100,rd,2,0.477676,-1,0.94,0.9466666666666667,0.00666666666666671,0.9577464788732394,0.017746478873239435,0.9577464788732394,0.017746478873239435,0.09526845531634509,0.09290615647685892
B_RA2_n250_correct,correct,250,100,rd,2,3.11961,-1,0.9266666666666666,0.9266666666666666,0.0,0.9295774647887324,0.0029107981220657386,0.9295774647887324,0.0029107981220657386,0.21470570058035723,0.2146878661425171
B_RA2_n250_correct,correct,250,100,rd,2,8.608445,-1,0.94,0.94,0.0,0.9295774647887324,-0.01042253521126757,0.9295774647887324,-0.01042253521126757,0.273717232186428,0.2736101352269064
