cell,estimator,estimand,event,time,group,n_rep,n_used,truth,bias,bias_mc_se,rel_bias,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,miss_low,miss_high,ci_width,ci_width_mc_se,n_ci,n_error,frac_nonconverged,n_converged_known,n
n1000,ate:AIPTW,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.00022087494624602237,0.0012796146916824276,0.002013417866593811,0.02861305435609343,0.02703494078982354,0.9448463786273898,0.02858528033039849,0.938,0.010784804124322337,0.034,0.028,0.10597502054445394,0.00013473825453149522,500.0,0.0,,0.0,1000
n1000,ate:AIPTW,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-3.858191615890938e-05,0.0013955277347146053,0.00025659037196472314,0.031204948793081506,0.031053095698956503,0.9951336855211033,0.031173752101483324,0.952,0.009559916317625384,0.018,0.03,0.12172589835686076,0.00012704175233729754,500.0,0.0,,0.0,1000
n1000,ate:AIPTW,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,-0.0011754799458524613,0.0009737009663694468,-0.043802217473685345,0.021772615505593198,0.02149302300375466,0.9871585248099056,0.021782572058542348,0.946,0.010107818755794947,0.022,0.032,0.08425110201250004,0.00016662474395575319,500.0,0.0,,0.0,1000
n1000,ate:AIPTW,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,-0.0008765216621327005,0.0012240630023858516,-0.017535529531503242,0.027370880820772516,0.027111345421840374,0.9905178280292984,0.0273575414994716,0.948,0.009929350431926557,0.022,0.03,0.10627452119846399,0.0001478494948408224,500.0,0.0,,0.0,1000
n1000,ate:AIPTW,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,-0.0005424948791663888,0.001398407831715402,-0.006747684762788615,0.031269349719837254,0.03133434095950485,1.002078432722455,0.03124277497488987,0.952,0.009559916317625384,0.014,0.034,0.12282835951985548,0.00012397453511721636,500.0,0.0,,0.0,1000
n1000,ate:GFORMULA,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.00041857035665769844,0.0005924316972812679,0.006269747317774953,0.013247175471464924,0.012729169030890346,0.960896838598508,0.013240539407415052,0.934,0.01110351295761841,0.04,0.026,0.049897425707335394,0.00015596970308757237,500.0,0.0,,0.0,1000
n1000,ate:GFORMULA,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0008783916960290201,0.0009141469263708974,0.008007107934652494,0.020440946687878218,0.01954468206284666,0.9561534679035655,0.020439378876701192,0.944,0.010282412168358165,0.028,0.028,0.07661374586493089,0.0001618254638266328,500.0,0.0,,0.0,1000
n1000,ate:GFORMULA,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0009495468377959422,0.0011870112545105652,0.006314994188066648,0.026542378551429276,0.025634180658082817,0.9657831007275136,0.02653281934974507,0.95,0.00974679434480897,0.024,0.026,0.10048414172607115,0.0001517037215244695,500.0,0.0,,0.0,1000
n1000,ate:GFORMULA,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,3.0090707167646308e-05,0.0005080946419657647,0.001121277912009277,0.011361341584388673,0.012082270809017819,1.063454585822836,0.011350014444159217,0.974,0.007116740827092135,0.006,0.02,0.04736163127426909,0.00015625337362776392,500.0,0.0,,0.0,1000
n1000,ate:GFORMULA,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.00014440149063460456,0.0008163106418092799,0.002888869394573893,0.018253260858420318,0.019314939941130007,1.0581638037687897,0.018235570204742865,0.97,0.007628892449104264,0.012,0.018,0.07571317329633799,0.00016132122511664226,500.0,0.0,,0.0,1000
